name,salary_from,salary_to,salary_currency,area_name,published_at
Руководитель проектов,,,,Москва,2022-12-07T10:56:55+0300
Разработчик Python,70000.0,160000.0,RUR,Пермь,2022-12-07T09:09:51+0300
Специалист по ручному тестированию,,,,Москва,2022-12-07T11:51:06+0300
Графический дизайнер,,50000.0,RUR,Москва,2022-12-07T08:45:13+0300
Специалист по работе с организационной документацией,50000.0,50000.0,RUR,Челябинск,2022-12-07T08:31:52+0300
Специалист технической поддержки (техник- системный администратор),80000.0,100000.0,RUR,Москва,2022-12-07T10:26:24+0300
Junior Backend NodeJS разработчик,55000.0,70000.0,RUR,Красноярск,2022-12-07T09:44:26+0300
Инженер по тестированию ПО,,,,Астана,2022-12-07T09:13:17+0300
Креативный менеджер,,,,Санкт-Петербург,2022-12-07T10:23:58+0300
Тестировщик / QA Engineer (SQL),,,,Москва,2022-12-07T10:06:52+0300
Специалист по автоматизированным системам управления,,,,Ташкент,2022-12-07T10:31:45+0300
Графический дизайнер,180000.0,200000.0,KZT,Алматы,2022-12-07T07:00:56+0300
Графический дизайнер,135000.0,,RUR,Москва,2022-12-07T10:28:06+0300
Специалист сервисной службы,55000.0,72000.0,RUR,Казань,2022-12-07T08:12:55+0300
Эксперт по продукции,,,,Москва,2022-12-07T10:50:07+0300
Сетевой инженер,,,,Москва,2022-12-07T10:26:27+0300
QA-тестировщик (ручной),,120000.0,RUR,Москва,2022-12-07T11:44:42+0300
Менеджер - аналитик по работе с маркетплейсами wildberries и kaspi,150000.0,300000.0,KZT,Алматы,2022-12-07T10:01:00+0300
Редактор отдела новостей,80000.0,,RUR,Москва,2022-12-07T10:40:15+0300
Project Manager,100000.0,160000.0,RUR,Уфа,2022-12-07T09:39:23+0300
"Администратор (nginx, postgresql)",,500000.0,KZT,Астана,2022-12-07T08:12:56+0300
Аналитик,,,,Москва,2022-12-07T10:12:43+0300
Токарь-универсал,109000.0,,RUR,Санкт-Петербург,2022-12-07T10:26:27+0300
Project manager,,,,Москва,2022-12-07T10:45:04+0300
Помощник дизайнера,25000.0,,RUR,Электросталь,2022-12-07T08:02:03+0300
Руководитель направления реализации проектов,,,,Санкт-Петербург,2022-12-07T09:23:16+0300
Аналитик в отдел планирования,,,,Нижний Новгород,2022-12-07T10:03:04+0300
Копирайтер (Junior+/Middle),250000.0,350000.0,KZT,Алматы,2022-12-07T07:16:06+0300
.NET developer (Junior),,,,Алматы,2022-12-07T09:16:49+0300
Заведующий гаражом,70000.0,,RUR,Ярославль,2022-12-07T10:14:08+0300
Инженер дежурной смены,,,,Самара,2022-12-07T11:28:57+0300
Дизайнер-верстальщик,250000.0,400000.0,KZT,Алматы,2022-12-07T09:54:06+0300
Художник,15000.0,15000.0,RUR,Красноярск,2022-12-07T06:19:19+0300
UX/UI дизайнер,40000.0,,RUR,Екатеринбург,2022-12-07T09:23:47+0300
Pre-sale инженер,500.0,2000.0,USD,Бишкек,2022-12-07T09:33:12+0300
Qa Engineer (Manual),,,,Новосибирск,2022-12-07T07:38:09+0300
Дизайнер сайтов Figma / Web - дизайнер (удаленно / офис),,,,Краснодар,2022-12-07T09:58:46+0300
Руководитель проектов операционной эффективности,,,,Москва,2022-12-07T10:49:38+0300
Механик по выпуску автотранспорта,80000.0,,RUR,Краснодар,2022-12-07T11:03:25+0300
Начальник отдела автоматизированных систем управления (ИТ-отдела),80000.0,,RUR,Красноярск,2022-12-07T11:21:30+0300
Специалист по продукту,,,,Ташкент,2022-12-07T08:37:06+0300
Механик по выпуску автотранспорта,80000.0,,RUR,Ярославль,2022-12-07T11:03:25+0300
Junior + Data Engineer в СберМаркет,,,,Москва,2022-12-07T11:29:31+0300
Консультант по оптимизации бизнес-процессов,,,,Астана,2022-12-07T11:28:51+0300
Системный администратор/помощник системного администратора/специалист технической поддержки,,,,Москва,2022-12-07T10:42:22+0300
Тестировщик ИТ-систем,,,,Москва,2022-12-07T11:17:34+0300
Инженер по тестированию (ГЭПС),,,,Москва,2022-12-07T11:08:48+0300
Программист 1С (удаленно),50000.0,70000.0,RUR,Москва,2022-12-07T10:40:15+0300
Системный администратор,,,,Москва,2022-12-07T08:17:48+0300
Руководитель проектов,,250000.0,RUR,Санкт-Петербург,2022-12-07T08:19:36+0300
Инженер по сопровождению АС,,,,Самара,2022-12-07T11:38:31+0300
Учитель ИЗО,50000.0,70000.0,KZT,Алматы,2022-12-07T11:44:11+0300
UX/UI дизайнер,50000.0,50000.0,RUR,Санкт-Петербург,2022-12-07T11:58:59+0300
Программист SQL,,,,Омск,2022-12-07T09:25:03+0300
Системный администратор,250000.0,,KZT,Павлодар,2022-12-07T07:10:19+0300
Копирайтер (удаленно),15000.0,25000.0,RUR,Санкт-Петербург,2022-12-07T10:02:37+0300
Геймдизайнер,,80000.0,RUR,Кемерово,2022-12-07T07:39:53+0300
Руководитель проекта,200000.0,200000.0,RUR,Иркутск,2022-12-07T10:09:18+0300
Дизайнер,35000.0,,RUR,Воронеж,2022-12-07T10:47:54+0300
Middle Product Manager (saas/b2b),200000.0,250000.0,RUR,Москва,2022-12-07T11:13:22+0300
Middle / Senior JS developer,80000.0,180000.0,RUR,Ульяновск,2022-12-07T06:12:00+0300
"Преподаватель программирования, информационных технологий",180000.0,200000.0,KZT,Алматы,2022-12-07T07:11:43+0300
Программист,,,,Усть-Каменогорск,2022-12-07T06:43:01+0300
Механик по выпуску автотранспорта,80000.0,,RUR,Белгород,2022-12-07T11:03:25+0300
"Специалист технической поддержки, Ozon Tech, Санкт-Петербург (ул. Софийская)",,,,Санкт-Петербург,2022-12-07T09:30:05+0300
Оператор станков с ЧПУ,70000.0,,RUR,Тольятти,2022-12-07T08:35:34+0300
Оператор станков с ЧПУ,70000.0,,RUR,Санкт-Петербург,2022-12-07T08:55:22+0300
Мастер по ремонту транспорта (г. Кострома),32000.0,32000.0,RUR,Кострома,2022-12-07T10:58:04+0300
Специалист группы поддержки системы 2-го уровня,,,,Москва,2022-12-07T10:26:50+0300
Специалист по автоматизации и технической защите информации,50000.0,60000.0,RUR,Киров (Кировская область),2022-12-07T09:09:36+0300
Системный администратор,43000.0,43000.0,RUR,Ижевск,2022-12-07T07:30:57+0300
Руководитель проекта,200000.0,200000.0,RUR,Новосибирск,2022-12-07T10:09:18+0300
Главный эксперт по анализу и проектированию клиентского опыта,,,,Москва,2022-12-07T09:46:41+0300
IT инженер (техническая поддержка),90000.0,90000.0,RUR,Москва,2022-12-07T10:29:06+0300
Специалист технической поддержки,45000.0,55000.0,RUR,Екатеринбург,2022-12-07T08:01:39+0300
Strong Junior/Middle Java Developer,,,,Алматы,2022-12-07T08:23:47+0300
Инженер по безопасности дорожного движения (БДД),90000.0,,RUR,Пермь,2022-12-07T06:42:27+0300
Java Developer,,,,Ижевск,2022-12-07T08:46:02+0300
Оператор станков с ЧПУ,,240000.0,KZT,Шымкент,2022-12-07T11:20:02+0300
Аналитик,,,,Москва,2022-12-07T08:55:11+0300
Стажер-программист 1С / Программист 1С,20000.0,80000.0,RUR,Барнаул,2022-12-07T07:57:27+0300
Специалист по информационной безопасности,,,,Томск,2022-12-07T06:26:34+0300
Оператор станков,50000.0,70000.0,RUR,Дмитров,2022-12-07T10:03:29+0300
Журналист,35000.0,,RUR,Томск,2022-12-07T08:39:52+0300
Арт-директор на теплоход,40000.0,,RUR,Самара,2022-12-07T08:33:58+0300
Junior DevOps,,,,Санкт-Петербург,2022-12-07T10:12:17+0300
Системный администратор,43000.0,,RUR,Уфа,2022-12-07T09:57:39+0300
QA Engineer,,,,Санкт-Петербург,2022-12-07T11:59:38+0300
Механик,100000.0,,RUR,Королев,2022-12-07T09:28:25+0300
Менеджер проектов,,,,Москва,2022-12-07T09:36:06+0300
Менеджер по электронным продажам,300000.0,,KZT,Алматы,2022-12-07T09:48:19+0300
Механик,70000.0,,RUR,Санкт-Петербург,2022-12-07T10:40:17+0300
Руководитель автосервиса,,,,Вологда,2022-12-07T10:40:43+0300
Разработчик PL/SQL (middle),,,,Алматы,2022-12-07T08:18:44+0300
Системный администратор / IT-специалист (инженер),20000.0,25000.0,RUR,Казань,2022-12-07T09:10:42+0300
Разработчик C# DirectumRX,80000.0,140000.0,RUR,Москва,2022-12-07T08:03:48+0300
Системный администратор,250000.0,250000.0,KZT,Астана,2022-12-07T09:52:14+0300
Директор по строительству (федеральная компания),,,,Геленджик,2022-12-07T10:49:00+0300
Токарь,70000.0,,RUR,Киров (Кировская область),2022-12-07T09:21:24+0300
Шлифовщик,,,,Санкт-Петербург,2022-12-07T11:58:31+0300
Программист 1C,80000.0,150000.0,RUR,Красноярск,2022-12-07T10:01:15+0300
Авиационный техник по обслуживанию ВС,130000.0,,RUR,Домодедово,2022-12-07T09:55:21+0300
QA Engineer (Ручной Тестировщик) г.Ижевск,,,,Ижевск,2022-12-07T09:22:43+0300
JAVA разработчик (senior),,,,Москва,2022-12-07T11:45:06+0300
Программист-стажер 1С,30000.0,,RUR,Воронеж,2022-12-07T09:23:38+0300
Механик по выпуску автотранспорта,80000.0,,RUR,Рязань,2022-12-07T11:03:25+0300
Руководитель IT управления,,,,Астана,2022-12-07T08:21:25+0300
Дизайнер интерьера/Помощник дизайнера интерьера,40000.0,80000.0,RUR,Тюмень,2022-12-07T09:38:39+0300
Программист 1С-8 (стажер),,70000.0,RUR,Барнаул,2022-12-07T07:26:43+0300
Бизнес-аналитик в ИТ (IT Business Analyst),,450000.0,KZT,Алматы,2022-12-07T07:29:58+0300
Senior PHP Разработчик,220000.0,330000.0,RUR,Москва,2022-12-07T11:59:46+0300
Копирайтер,25000.0,40000.0,RUR,Тула,2022-12-07T10:04:28+0300
Младший программист,,,,Москва,2022-12-07T10:19:18+0300
Data Scientist,,,,Брянск,2022-12-07T11:51:48+0300
Менеджер проектов (направление идентификации),,,,Москва,2022-12-07T11:50:02+0300
Владелец продукта / Product owner,,,,Москва,2022-12-07T07:16:01+0300
Product Manager of Logistic,150000.0,200000.0,RUR,Санкт-Петербург,2022-12-07T10:37:16+0300
Менеджер проектов,80000.0,100000.0,RUR,Москва,2022-12-07T10:23:43+0300
Инженер-программист,150000.0,,RUR,Москва,2022-12-07T11:53:52+0300
Слесарь КИПиА,40000.0,,RUR,Барнаул,2022-12-07T08:41:16+0300
Оператор станка с программным управлением,65000.0,85000.0,RUR,Зеленоград,2022-12-07T09:39:50+0300
Дизайнер,57200.0,,RUR,Екатеринбург,2022-12-07T09:05:20+0300
Шлифовщик,100000.0,,RUR,Саратов,2022-12-07T09:55:04+0300
IOS-разработчик [Умный дом],,,,Москва,2022-12-07T10:39:40+0300
Специалист КИПиА,70000.0,,RUR,Азов,2022-12-07T09:50:03+0300
Frontend-разработчик (Ростов-на-Дону),,200000.0,RUR,Ростов-на-Дону,2022-12-07T09:43:20+0300
Авиационный техник по обслуживанию ВС,130000.0,,RUR,Москва,2022-12-07T09:55:21+0300
Product owner,,,,Санкт-Петербург,2022-12-07T11:40:53+0300
QA engineer,,,,Ташкент,2022-12-07T11:04:27+0300
Специалист службы поддержки в Yandex Cloud,54000.0,70200.0,RUR,Красногорск,2022-12-07T07:48:42+0300
Специалист службы поддержки в Yandex Cloud,54000.0,70200.0,RUR,Северодвинск,2022-12-07T07:48:42+0300
Инсталлятор,55000.0,,RUR,Комсомольск-на-Амуре,2022-12-07T09:56:15+0300
Руководитель проектов внедрения Track&Trace (Удалённо),,,,Москва,2022-12-07T11:49:08+0300
Системотехник/IT-специалист,100000.0,130000.0,KZT,Костанай,2022-12-07T07:38:27+0300
Оператор стеклоформующих машин,31000.0,,RUR,Липецк,2022-12-07T10:01:29+0300
Начинающий специалист по направлению Python (практикант),,,,Красноярск,2022-12-07T06:41:28+0300
Оператор токарного станка с ЧПУ,40000.0,60000.0,RUR,Воронеж,2022-12-07T08:44:25+0300
