,name,salary_from,salary_to,salary_currency,area_name,published_at
174,Программист 1C,10000.0,30000.0,RUR,Екатеринбург,2007
175,Стажер 1С,6000.0,10000.0,RUR,Екатеринбург,2007
176,Администратор баз данных,23000.0,28000.0,RUR,Москва,2007
177,Инженер технической поддержки,20000.0,25000.0,RUR,Москва,2007
178,Специалист отдела внешних связей,22300.0,35000.0,RUR,Москва,2007
179,Системный Администратор,30000.0,35000.0,RUR,Санкт-Петербург,2007
180,Менеджер по работе с клиентами,25000.0,60000.0,RUR,Москва,2007
181,Специалист по ДОМИНО,40000.0,50000.0,RUR,Москва,2007
182,IT Менеджер,100000.0,160000.0,RUR,Москва,2007
183,Ассистент менеджера проектов (project manager assistant).,20000.0,26000.0,RUR,Москва,2007
184,Web-программист,63000.0,96000.0,RUR,Москва,2007
185,Программист 1С 8 (УПП),55000.0,60000.0,RUR,Москва,2007
186,PR-менеджер,25000.0,50000.0,RUR,Москва,2007
187,Менеджер активных продаж,20000.0,60000.0,RUR,Красноярск,2007
188,Менеджер по продажам компьютерной техники,10000.0,20000.0,RUR,Пермь,2007
189,Менеджер по продажам компьютерной техники,10000.0,20000.0,RUR,Пермь,2007
190,Программист баз данных,40000.0,45000.0,RUR,Санкт-Петербург,2007
191,Руководитель проекта (компьютерная техника),60000.0,72000.0,RUR,Москва,2007
192,Инженер - системотехник,25000.0,30000.0,RUR,Москва,2007
193,Системный администратор,30000.0,35000.0,RUR,Москва,2007
194,Business Process Analyst (Axapta),60000.0,70000.0,RUR,Москва,2007
195,Старший менеджер по тех. поддержке клиентов,40000.0,50000.0,RUR,Москва,2007
196,Специалист-консультант,20000.0,60000.0,RUR,Москва,2007
197,Руководитель IT отдела,75000.0,80000.0,RUR,Московская область - Восток,2007
198,Ведущий программист J2EE,50000.0,75000.0,RUR,Москва,2007
199,Сервис-инженер,8000.0,10000.0,RUR,Нижний Новгород,2007
200,WEB программист,30000.0,40000.0,RUR,Москва,2007
201,Senior software developer,60000.0,100000.0,RUR,Москва,2007
202,Software developer,40000.0,60000.0,RUR,Москва,2007
203,Специалист Отдела ИТ,15000.0,22000.0,RUR,Ростов-на-Дону,2007
204,Аналитик,20000.0,25000.0,RUR,Санкт-Петербург,2007
205,Пресейл-менеджер систем управления (OSS),45000.0,80000.0,RUR,Москва,2007
206,Консультант-аудитор по направлению информационная безопасность,50000.0,90000.0,RUR,Москва,2007
207,Бизнес/системный аналитик в управление автоматизации банка,50000.0,70000.0,RUR,Москва,2007
208,Руководитель инфраструктурных проектов (IT направление),60000.0,200000.0,RUR,Москва,2007
209,Креативный дизайнер,27000.0,40000.0,RUR,Москва,2007
210,Специалист по защите информации,20000.0,25000.0,RUR,Новосибирск,2007
211,Системный аналитик,65000.0,75000.0,RUR,Москва,2007
212,Системный администратор,20000.0,30000.0,RUR,Москва,2007
213,Специалист по технической поддержке,15000.0,25000.0,RUR,Москва,2007
214,Программист 1С,55000.0,70000.0,RUR,Москва,2007
215,Специалист по логистике ДИТ,40000.0,40000.0,RUR,Москва,2007
216,Корректор,7000.0,8000.0,RUR,Воронеж,2007
217,Ведущий специалист отдела информационной безопасности(Лицензирование),50000.0,60000.0,RUR,Москва,2007
218,Ведущий специалист отдела информационной безопасности(ПО),60000.0,70000.0,RUR,Москва,2007
219,Ведущий специалист отдела информационной безопасности(процессинг),60000.0,70000.0,RUR,Москва,2007
220,Разработчик (архитектор) БД на платформе 1С7.7,50000.0,60000.0,RUR,Москва,2007
221,Помощник системного администратора,35000.0,45000.0,RUR,Москва,2007
222,Старший системный администратор,52000.0,52000.0,RUR,Москва,2007
223,Системный администратор,50000.0,55000.0,RUR,Москва,2007
224,Системный администратор,20000.0,25000.0,RUR,Москва,2007
225,Руководитель отдела телекоммуникаций,23000.0,28000.0,RUR,Санкт-Петербург,2007
226,Инженер связи,15000.0,19000.0,RUR,Санкт-Петербург,2007
227,Ведущий Разработчик 1С/Бизнес-аналитик,60000.0,70000.0,RUR,Москва,2007
228,Веб-программист,52000.0,67000.0,RUR,Москва,2007
229,Администратор базы данных (Oracle DBA),36000.0,36000.0,RUR,Санкт-Петербург,2007
230,Администратор баз данных Oracle,70000.0,70000.0,RUR,Москва,2007
231,Системный администратор,12000.0,15000.0,RUR,Ростов-на-Дону,2007
232,Ассистент менеджера проектов (project manager assistant).,20000.0,26000.0,RUR,Москва,2007
233,Системный администратор,28000.0,40000.0,RUR,Москва,2007
234,Ведущий системный администратор Lotus,75000.0,95000.0,RUR,Москва,2007
235,Программист PHP,40000.0,50000.0,RUR,Москва,2007
236,Системный администратор,9000.0,12000.0,RUR,Белгород,2007
237,Системный администратор Oracle,75000.0,90000.0,RUR,Москва,2007
238,Начальник отдела техподдержки,50000.0,70000.0,RUR,Москва,2007
239,Программист 1С,40000.0,45000.0,RUR,Москва,2007
240,Менеджер по продажам,12000.0,20000.0,RUR,Санкт-Петербург,2007
241,Баннер-мейкер FLASHER (АНИМАТОР),40000.0,45000.0,RUR,Санкт-Петербург,2007
242,Руководитель веб-проектов / Менеджер проектов (в веб-студию) / Продюсер,35000.0,50000.0,RUR,Москва,2007
243,Менеджер по работе с клиентами,25000.0,40000.0,RUR,Москва,2007
244,Системный администратор,50000.0,70000.0,RUR,Москва,2007
245,Cпециалист по работе с документами,20000.0,20000.0,RUR,Москва,2007
246,Редактор корпоративного сайта.,15000.0,21000.0,RUR,Москва,2007
247,"Специалист направления ""Логистика""",30000.0,60000.0,RUR,Москва,2007
248,Разработчик PHP,42000.0,55000.0,RUR,Москва,2007
249,Веб-программист,20000.0,25000.0,RUR,Санкт-Петербург,2007
